Title,Tag,meta_title,meta_description,product_description,validation_error
Convertible Top Header Rubber Seal,"1960_Chrysler_300, 1960_Chrysler_New Yorker, 1960_Chrysler_Saratoga, 1960_Chrysler_Windsor, 1960_DeSoto_Adventurer, 1960_DeSoto_Fireflite, 1960_Plymouth_Belvedere, 1960_Plymouth_Custom, 1960_Plymouth_Fury, 1960_Plymouth_Savoy, 1961_Chrysler_300,  1961_Chrysler_New Yorker, 1961_Chrysler_Newport, 1961_Chrysler_Windsor, 1961_DeSoto_Adventurer, 1961_Dodge_Dart, 1961_Dodge_Phoenix, 1961_Dodge_Pioneer, 1961_Dodge_Polara, 1961_Dodge_Seneca, 1961_Plymouth_Belvedere, 1961_Plymouth_Fury, 1961_Plymouth_Savoy, 1962_Plymouth_Fury, 1962_Plymouth_Belvedere, 1962_Dodge_Custom 880, 1962_Chrysler_Newport, 1962_Chrysler_New Yorker, 1962_Chrysler_300","Convertible Top Header Rubber Seal for 1960-1962 Chrysler, DeSoto, Dodge & Plymouth","Ensure a snug fit for your 1960-1962 Classic Mopar Car with our Convertible Top Header Rubber Seal. Reliable weather protection for Chrysler, DeSoto, Dodge & Plymouth.","<p>Keep your Classic Mopar Car sealed and protected from the elements with this Convertible Top Header Rubber Seal. It's designed specifically for 1960-1962 Chrysler, DeSoto, Dodge, and Plymouth models. This high-quality rubber seal ensures a snug fit, providing reliable weather protection and reducing noise. Installing it is straightforward, making it a perfect addition for restoring your convertible's original charm and functionality.</p>","2 validation errors for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Convertible Top Header R...eSoto, Dodge & Plymouth', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long
meta_description
  String should have at most 160 characters [type=string_too_long, input_value='Ensure a snug fit for yo...Soto, Dodge & Plymouth.', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
Tail Light Pads,"1934_Plymouth_Deluxe PE Model, 1934_Plymouth_Standard PF Model, 1934_Plymouth_Standard PG Model, 1935_Plymouth_Deluxe PJ Model, 1935_Plymouth_Model PJ",Tail Light Pads for 1934-1935 Plymouth Deluxe & Standard,Protect your 1934-1935 Vintage Mopar Car - Plymouth Deluxe & Standard models with quality tail light pads. Easy to install & durable.,"Ensure the longevity of your Plymouth's tail lights with these quality tail light pads for 1934-1935 models. Designed specifically for Deluxe PE, Standard PF, Standard PG, and Deluxe & Model PJ, these pads provide a snug fit and protect against the elements. Installation is straightforward, ensuring your vintage ride maintains its classic look.<ul><li>1934 Plymouth Deluxe PE Model</li><li>1934 Plymouth Standard PF Model</li><li>1934 Plymouth Standard PG Model</li><li>1935 Plymouth Deluxe PJ Model</li><li>1935 Plymouth Model PJ</li></ul>",
Dimmer Switch Grommet,"1930_MOPAR_Cars, 1931_MOPAR_Cars, 1932_MOPAR_Cars, 1933_MOPAR_Cars, 1933_MOPAR_Trucks, 1934_MOPAR_Cars, 1934_MOPAR_Trucks, 1935_MOPAR_Cars, 1935_MOPAR_Trucks, 1936_MOPAR_Cars, 1936_MOPAR_Trucks, 1937_MOPAR_Cars, 1937_MOPAR_Trucks, 1938_MOPAR_Cars, 1938_MOPAR_Trucks, 1939_MOPAR_Cars, 1939_MOPAR_Trucks, 1940_MOPAR_Cars, 1940_MOPAR_Trucks, 1941_MOPAR_Cars, 1941_MOPAR_Trucks, 1942_MOPAR_Cars, 1942_MOPAR_Trucks, 1946_MOPAR_Cars, 1946_MOPAR_Trucks, 1947_MOPAR_Cars, 1948_MOPAR_Trucks, 1949_MOPAR_Trucks,1950_MOPAR_Trucks, 1951_MOPAR_Trucks, 1952_MOPAR_Trucks, 1953_MOPAR_Trucks, 1954_MOPAR_Trucks, 1955_MOPAR_Trucks, 1956_MOPAR_Trucks, 1957_MOPAR_Trucks, 1958_MOPAR_Trucks, 1959_MOPAR_Trucks, 1960_MOPAR_Trucks, 1961_MOPAR_Trucks, 1962_MOPAR_Trucks, 1963_MOPAR_Trucks, 1964_MOPAR_Trucks, 1965_MOPAR_Trucks, 1966_MOPAR_Trucks, 1967_MOPAR_Trucks, 1968_MOPAR_Trucks, 1969_MOPAR_Trucks, 1970_MOPAR_Trucks, 1971_MOPAR_Trucks, 1972_MOPAR_Trucks, 1973_MOPAR_Trucks, 1974_MOPAR_Trucks, 1975_MOPAR_Trucks, 1976_MOPAR_Trucks, 1948_MOPAR_Cars, 1949_MOPAR_Cars, 1950_MOPAR_Cars, 1951_MOPAR_Cars, 1952_MOPAR_Cars, 1953_MOPAR_Cars, 1954_MOPAR_Cars, 1955_MOPAR_Cars, 1956_MOPAR_Cars, 1956_MOPAR_Trucks, 1957_MOPAR_Cars, 1958_MOPAR_Cars, 1959_MOPAR_Cars, 1960_MOPAR_Cars, 1961_MOPAR_Cars, 1962_MOPAR_Cars, 1963_MOPAR_Cars, 1964_MOPAR_Cars, 1965_MOPAR_Cars, 1966_MOPAR_Cars, 1967_MOPAR_Cars, 1968_MOPAR_Cars, 1969_MOPAR_Cars, 1970_MOPAR_Cars, 1971_MOPAR_Cars, 1972_MOPAR_Cars, 1973_MOPAR_Cars, 1974_MOPAR_Cars, 1975_MOPAR_Cars, 1976_MOPAR_Cars,",Dimmer Switch Grommet for 1930-1976 Mopar Cars & Trucks,Securely fit your 1930-1976 Vintage & Classic Mopar Cars & Trucks with our interior rubber dimmer switch grommet.,"Hey there, if you're working on a Mopar vehicle from 1930 to 1976, this dimmer switch grommet is a handy piece to have. It ensures a snug fit for your dimmer switch, preventing dust and debris from getting into the interior. Simply pop the grommet into place, and you're good to go. This durable piece is essential for maintaining a clean and efficient interior.<ul><li>Fits securely for a clean interior</li><li>Prevents dust and debris entry</li><li>Easy installation</li></ul>",
Catalog,,Current Catalog | Literature,Explore our Current Catalog in Literature. Discover a wide range of literary works for your reading pleasure.,"<p>Explore the latest offerings in our Current Catalog, featuring a diverse range of literature. Whether you're into classic tales or modern narratives, this catalog has something for every reader. Dive into the world of words and discover new favorites or revisit timeless classics.</p><ul><li>Current Catalog</li></ul>",
Refundable Core Charge,,Refundable Core Charge for Vintage & Classic Mopar Cars,Understand our Refundable Core Charge for all Vintage & Classic Mopar Cars. Ensures recycling & helps maintain quality auto parts.,"<p>The refundable core charge is a common practice in the auto parts industry, especially for Vintage & Classic Mopar Cars like Chrysler, DeSoto, Dodge, and Plymouth. This charge encourages the return of old parts for recycling or reconditioning. By returning the core, you not only receive a refund but also contribute to sustainable practices. Always check the condition and type of the core part before returning to ensure eligibility for a refund.</p>",
Control Arms Master Rebuild Kit,"1941_Chrysler_Royal, 1941_Chrysler_Windsor, 1941_DeSoto_S-8, 1941_Plymouth_P11 Deluxe, 1941_Plymouth_P11 Standard, 1941_Plymouth_P12 Special Deluxe, 1942_Chrysler_Royal, 1942_Chrysler_Windsor, 1942_DeSoto_S-10, 1942_Dodge_Custom, 1942_Dodge_Deluxe, 1942_Plymouth_P14C Special Deluxe, 1942_Plymouth_P14S Deluxe, 1946_Chrysler_Royal, 1946_Chrysler_Windsor, 1946_DeSoto_S-11, 1946_Dodge_Deluxe, 1946_Dodge_Custom, 1946_Plymouth_P15 Deluxe, 1946_Plymouth_P15 Special Deluxe, 1947_Chrysler_Royal, 1947_Chrysler_Windsor, 1947_DeSoto_S-11, 1947_Dodge_Deluxe, 1947_Dodge_Custom, 1947_Plymouth_P15 Deluxe, 1947_Plymouth_P15 Special Deluxe, 1948_Chrysler_Royal,  1948_Chrysler_Windsor, 1948_DeSoto_S-11, 1948_Dodge_Deluxe, 1948_Dodge_Custom, 1948_Plymouth_P15 Deluxe, 1948_Plymouth_P15 Special Deluxe, 1949_Chrysler_Royal, 1949_Chrysler_Windsor, 1949_DeSoto_S-13, 1949_Dodge_Coronet, 1949_Dodge_Meadowbrook, 1949_Dodge_Wayfarer, 1949_Plymouth_Deluxe, 1949_Plymouth_Special Deluxe, 1949_Plymouth_Suburban, 1950_Chrysler_Royal, 1950_Chrysler_Windsor, 1950_DeSoto_S-14, 1950_Dodge_Coronet, 1950_Dodge_Meadowbrook, 1950_Dodge_Wayfarer, 1950_Plymouth_Deluxe, 1950_Plymouth_Special Deluxe, 1950_Plymouth_Suburban,  1951_Chrysler_Windsor, 1951_DeSoto_S-15, 1951_Dodge_Coronet, 1951_Dodge_Meadowbrook, 1951_Dodge_Wayfarer, 1951_Plymouth_Cambridge, 1951_Plymouth_Concord, 1951_Plymouth_Cranbrook, 1951_Plymouth_Deluxe, 1951_Plymouth_Suburban, 1952_Chrysler_Windsor, 1952_DeSoto_Firedome, 1952_DeSoto_S-15, 1952_Dodge_Coronet, 1952_Dodge_Meadowbrook, 1952_Dodge_Wayfarer, 1952_Plymouth_Cambridge, 1952_Plymouth_Concord, 1952_Plymouth_Cranbrook, 1952_Plymouth_Suburban, 1953_Chrysler_Windsor, 1953_DeSoto_Firedome, 1953_DeSoto_Powermaster, 1953_Dodge_Coronet, 1953_Dodge_Meadowbrook, 1953_Plymouth_Belvedere, 1953_Plymouth_Cambridge, 1953_Plymouth_Cranbrook, 1953_Plymouth_Savoy, 1953_Plymouth_Suburban, 1954_Chrysler_Windsor, 1954_DeSoto_Firedome, 1954_DeSoto_Powermaster, 1954_Dodge_Coronet, 1954_Dodge_Meadowbrook, 1954_Dodge_Royal, 1954_Plymouth_Belvedere, 1954_Plymouth_Plaza, 1954_Plymouth_Savoy, 1954_Plymouth_Suburban","Control Arms Master Rebuild Kit 1941-1954 Chrysler, DeSoto, Dodge & Plymouth",Upgrade your 1941-1954 Vintage & Classic Mopar Cars with a Control Arms Master Rebuild Kit for optimal front axle performance.,"Ensure smooth front axle performance with our Control Arms Master Rebuild Kit, perfect for 1941-1954 Chrysler, DeSoto, Dodge, and Plymouth models. This kit includes everything you need to service two upper and two lower control arms on one 6-cylinder car, keeping your vintage beauty running smoothly. <ul><li>All shafts</li><li>Pins</li><li>Bushings</li></ul> Easy to install, this kit ensures longevity and reliability for your beloved Mopar.","1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Control Arms Master Rebu...eSoto, Dodge & Plymouth', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
Front Outer Wheel Bearing and Cup,"1928_Plymouth_Model Q, 1929_Plymouth_Model U, 1930_Plymouth_Model U, 1931_Plymouth_Model PA, 1932_Plymouth_Model PB, 1933_Plymouth_Model PD, 1933_Plymouth_Model PC, 1934_Plymouth_Standard PG Model, 1934_Plymouth_Standard PF Model, 1934_Plymouth_Deluxe PE Model, 1935_Plymouth_Model PJ, 1935_Plymouth_Deluxe PJ Model, 1936_Plymouth_P2 Deluxe, 1936_Plymouth_P1 Business Line, 1937_Plymouth_P3, 1937_Plymouth_PT-50, 1937_Plymouth_P4, 1938_Plymouth_P5, 1938_Plymouth_PT-57, 1938_Plymouth_P6, 1939_Plymouth_PT-81, 1939_Plymouth_P8 Deluxe, 1939_Plymouth_P7 Roadking, 1940_Plymouth_PT-105, 1940_Plymouth_P9 Roadking, 1940_Plymouth_P10 Deluxe, 1941_Plymouth_PT-125, 1941_Plymouth_P12 Special Deluxe, 1941_Plymouth_P11 Standard, 1941_Plymouth_P11 Deluxe, 1942_Plymouth_P14S Deluxe, 1942_Plymouth_P14C Special Deluxe, 1946_Plymouth_P15 Special Deluxe, 1946_Plymouth_P15 Deluxe, 1947_Plymouth_P15 Special Deluxe, 1947_Plymouth_P15 Deluxe, 1948_Plymouth_P15 Special Deluxe, 1948_Plymouth_P15 Deluxe, 1929_DeSoto_Model K, 1930_DeSoto_Model CK, 1930_DeSoto_Model CF, 1931_DeSoto_Model SA, 1931_DeSoto_Model CK, 1931_DeSoto_Model CF, 1932_DeSoto_Model SC, 1932_DeSoto_Model SA, 1932_DeSoto_Model CF, 1933_DeSoto_Model SD, 1935_DeSoto_Airstream, 1936_DeSoto_Deluxe Airstream, 1937_DeSoto_S-3, 1937_DeSoto_S-3, 1938_DeSoto_S-5, 1939_DeSoto_S-6, 1940_DeSoto_S-7, 1941_DeSoto_S-8, 1942_DeSoto_S-10, 1946_DeSoto_S-11, 1947_DeSoto_S-11, 1948_DeSoto_S-11, 1930_Dodge_Series DC, 1930_Dodge_Series DA, 1930_Dodge_Series DD, 1930_Dodge_Series DB, 1931_Dodge_Series DD, 1931_Dodge_Series DH, 1931_Dodge_Series DC, 1931_Dodge_Series DG, 1932_Dodge_Series DL, 1932_Dodge_Series DM, 1933_Dodge_Deluxe, 1934_Dodge_Deluxe, 1935_Dodge_Cars DU DV & DV-6, 1937_Dodge_Cars D-5 D-6 & D-7, 1938_Dodge_Cars D-8 D-9 & D-10, 1939_Dodge_Cars D-11 D-12 & D-13, 1940_Dodge_Cars D-14 D-15 & D-17, 1941_Dodge_Deluxe, 1941_Dodge_Custom, 1942_Dodge_Deluxe, 1942_Dodge_Custom, 1946_Dodge_Deluxe, 1946_Dodge_Custom, 1947_Dodge_Deluxe, 1947_Dodge_Custom, 1948_Dodge_Deluxe, 1948_Dodge_Custom, 1929_Chrysler_Series 66, 1930_Chrysler_Series 66, 1931_Chrysler_Series 66, 1930_Chrysler_Series CJ, 1931_Chrysler_Series CJ, 1931_Chrysler_Series Six CM, 1930_Chrysler_Series Six, 1932_Chrysler_Series Six CM, 1932_Chrysler_Series CI, 1932_Chrysler_Series CI, 1933_Chrysler_Series CO, 1935_Chrysler_Airstream Series C-6, 1936_Chrysler_Airstream Series C-7, 1937_Chrysler_Royal, 1938_Chrysler_Royal, 1939_Chrysler_Royal Windsor, 1939_Chrysler_Royal, 1940_Chrysler_Windsor, 1940_Chrysler_Royal, 1941_Chrysler_Windsor, 1941_Chrysler_Royal, 1942_Chrysler_Windsor, 1942_Chrysler_Royal, 1946_Chrysler_Windsor, 1946_Chrysler_Royal Series, 1947_Chrysler_Windsor, 1947_Chrysler_Royal Series, 1948_Chrysler_Windsor, 1948_Chrysler_Royal Series, 1934_MOPAR_Trucks, 1935_MOPAR_Trucks, 1936_MOPAR_Trucks, 1937_MOPAR_Trucks, 1938_MOPAR_Trucks, 1939_MOPAR_Trucks, 1940_Dodge_1/2 Ton Truck, 1940_Dodge_3/4 Ton Truck, 1941_MOPAR_Trucks, 1942_MOPAR_Trucks, 1943_MOPAR_Trucks, 1944_MOPAR_Trucks, 1945_MOPAR_Trucks, 1946_Dodge_1/2 Ton Truck, 1946_Dodge_3/4 Ton Truck, 1946_Dodge_1 Ton Truck, 1947_Dodge_1/2 Ton Truck, 1947_Dodge_3/4 Ton Truck, 1947_Dodge_1 Ton Truck, 1948_Dodge_1/2 Ton Truck, 1948_Dodge_3/4 Ton Truck, 1949_Dodge_1/2 Ton Truck, 1949_Dodge_3/4 Ton Truck, 1950_Dodge_1/2 Ton Truck, 1950_Dodge_3/4 Ton Truck, 1951_Dodge_1/2 Ton Truck, 1951_Dodge_3/4 Ton Truck, 1952_Dodge_1/2 Ton Truck, 1952_Dodge_3/4 Ton Truck, 1953_Dodge_1/2 Ton Truck, 1953_Dodge_3/4 Ton Truck, 1954_Dodge_1/2 Ton Truck, 1954_Dodge_3/4 Ton Truck, 1955_Dodge_1/2 Ton Truck Truck, 1955_Dodge_3/4 Ton Truck, 1956_Dodge_1/2 Ton Truck, 1956_Dodge_3/4 Ton Truck","Front Outer Wheel Bearing and Cup for 1928-1956 Chrysler, DeSoto, Dodge & Plymouth",Upgrade your 1928-1956 Vintage & Classic Mopar Car with our durable front outer wheel bearing and cup for reliable performance.,"Keep your wheels turning smoothly with this front outer wheel bearing and cup, fitting a wide range of 1928-1956 Vintage & Classic Mopar Cars including Chrysler, DeSoto, Dodge, and Plymouth. This essential component ensures your wheels rotate properly, reducing friction and wear. Installation is straightforward for anyone familiar with wheel maintenance. Ensure a smooth ride and prolong the life of your wheels with this quality part.","1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Front Outer Wheel Bearin...eSoto, Dodge & Plymouth', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
Differential Carrier Gasket,"1929_Chrysler_Series 66, 1928_Plymouth_Model Q, 1929_Plymouth_Model U, 1929_DeSoto_Model K,1930_Plymouth_Model U, 1930_DeSoto_Model K, 1930_DeSoto_Model CK, 1930_Chrysler_Series Six, 1930_Chrysler_Series 66, 1931_Plymouth_Model PA, 1931_DeSoto_Model SA, 1931_DeSoto_Model CK, 1931_Chrysler_Series CJ, 1931_Chrysler_Series 66, 1932_Plymouth_Model PB, 1932_DeSoto_Model SC, 1932_DeSoto_Model SA, 1933_Plymouth_Model PD, 1933_Plymouth_Model PC, 1933_Dodge_Truck, 1933_DeSoto_Model SD, 1933_Chrysler_Series CO, 1934_Plymouth_Standard PG Model, 1934_Plymouth_Standard PF Model, 1934_Plymouth_Deluxe PE Model, 1933_Dodge_Deluxe, 1934_Dodge_Deluxe, 1934_DeSoto_Airflow, 1934_Chrysler_Series CB, 1934_Chrysler_Series CA, 1935_Chrysler_Airstream Series CZ, 1935_Plymouth_Model PJ, 1935_Plymouth_Deluxe PJ Model, 1935_Dodge_Truck, 1935_Dodge_Cars DU DV & DV-6, 1935_DeSoto_Airstream, 1935_DeSoto_Airflow III, 1935_DeSoto_Airflow, 1935_Chrysler_Airstream Series C-6, 1935_Chrysler_Airstream Deluxe Series CZ, 1936_Plymouth_P2 Deluxe, 1936_Plymouth_P1 Business Line, 1936_Dodge_Truck, 1936_Dodge_Cars D-2 D-3 & D-4, 1936_DeSoto_Deluxe Airstream, 1936_DeSoto_Airflow III, 1936_Chrysler_Airstream Series C-7, 1936_Chrysler_Airstream Deluxe Series C-8, 1937_Chrysler_Imperial, 1938_Chrysler_Imperial, 1938_Chrysler_New York Special, 1938_Chrysler_C19, 1939_Chrysler_Saratoga, 1939_Chrysler_New Yorker, 1939_Chrysler_Imperial, 1940_Chrysler_Traveler, 1940_Chrysler_Saratoga, 1940_Chrysler_New Yorker, 1941_Chrysler_Town & Country, 1941_Chrysler_Saratoga, 1941_Chrysler_New Yorker, 1942_Chrysler_Saratoga, 1942_Chrysler_New Yorker, 1946_Chrysler_Town & Country, 1946_Chrysler_Saratoga, 1946_Chrysler_New Yorker, 1947_Chrysler_Town & Country, 1947_Chrysler_Saratoga, 1947_Chrysler_New Yorker, 1948_Chrysler_Town & Country, 1948_Chrysler_Saratoga, 1948_Chrysler_New Yorker, 1949_Chrysler_Town & Country, 1949_Chrysler_Saratoga, 1949_Chrysler_New Yorker, 1949_Chrysler_Imperial, 1950_Chrysler_Town & Country, 1950_Chrysler_Saratoga, 1950_Chrysler_New Yorker, 1950_Chrysler_Imperial, 1951_Chrysler_Saratoga, 1951_Chrysler_New Yorker, 1952_Chrysler_Saratoga, 1952_Chrysler_New Yorker, 1952_Chrysler_Imperial, 1953_Chrysler_New Yorker, 1953_Chrysler_Imperial, 1954_Chrysler_New Yorker, 1954_Chrysler_Imperial, 1955_Chrysler_New Yorker, 1955_Chrysler_Imperial, 1955_Chrysler_300, 1956_Chrysler_New Yorker, 1956_Chrysler_Imperial, 1956_Chrysler_300, 1934_Dodge_Truck, 1935_Dodge_Truck, 1936_Dodge_Truck, 1952_DeSoto_Firedome, 1953_DeSoto_Firedome, 1954_DeSoto_Firedome, 1955_DeSoto_Fireflite, 1956_DeSoto_Fireflite, 1956_DeSoto_Adventurer","Differential Carrier Gasket | 1928-1956 Chrysler, Dodge, DeSoto & Plymouth","Seal your rear axle with a durable differential carrier gasket for 1928-1956 Vintage & Classic Mopar Cars - Chrysler, Dodge, DeSoto & Plymouth.","Looking to keep your rear axle in top shape? This differential carrier gasket does just that for 1928-1956 Vintage & Classic Mopar cars like Chrysler, Dodge, DeSoto, and Plymouth. It's a vital component that ensures a tight seal, preventing leaks and maintaining differential performance. Installation is straightforward, making it an ideal choice for enthusiasts looking to preserve their classic vehicle's integrity.<ul><li>1929 Chrysler Series 66, 1928 Plymouth Model Q, 1929 Plymouth Model U</li><li>1930-1934 DeSoto Models, 1931-1935 Chrysler Series</li><li>1936-1956 Chrysler Imperial, New Yorker, Town & Country</li><li>1933-1956 Dodge Truck, Cars DU, DV, and more</li><li>1952-1956 DeSoto Firedome, Fireflite, Adventurer</li></ul>","1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Differential Carrier Gas...odge, DeSoto & Plymouth', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
"Brake Shoes and Lining Assemblies - 10"" x 1 1/2"" (4-Piece Set, Enough for One Axle) - Fits Front and Rear","1933_Dodge_Deluxe, 1933_Plymouth_Model PC, 1933_Plymouth_Model PD, 1934_Plymouth_Deluxe PE Model, 1934_Plymouth_Standard PF Model, 1934_Plymouth_Standard PG Model",Brake Shoes & Lining 1933-1934 Dodge & Plymouth - Service Brakes,Upgrade your 1933-1934 Classic Mopar Cars - Dodge & Plymouth with durable brake shoes & linings. Ensure safety with easy installation.,"For your Classic Mopar Car, these brake shoes and lining assemblies are specifically crafted for 10"" brake drums. Ensure a good fit by double-checking the width, especially for certain 1934 models. This set includes enough parts to service one axle, fitting both front and rear applications. Perfect for:<ul><li>1933 Dodge Deluxe</li><li>1933 Plymouth Model PC</li><li>1933 Plymouth Model PD</li><li>1934 Plymouth Deluxe PE Model</li><li>1934 Plymouth Standard PF Model</li><li>1934 Plymouth Standard PG Model</li></ul>Installation is straightforward, offering you reliable stopping power and peace of mind on the road.","1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Brake Shoes & Lining 193...ymouth - Service Brakes', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
"Clutch Disc - 9 1/4"" For Standard Transmission","1935_Plymouth_Deluxe PJ Model, 1935_Plymouth_Model PJ, 1936_Plymouth_P1 Business Line, 1936_Plymouth_P2 Deluxe, 1937_Plymouth_P4,  1937_Plymouth_P3, 1938_Plymouth_P6, 1938_Plymouth_P5, 1939_Plymouth_P7 Roadking, 1939_Plymouth_P8 Deluxe, 1940_Plymouth_P10 Deluxe, 1940_Plymouth_P9 Roadking, 1941_Plymouth_P11 Deluxe, 1941_Plymouth_P11 Standard, 1941_Plymouth_P12 Special Deluxe, 1942_Plymouth_P14C Special Deluxe, 1942_Plymouth_P14S Deluxe, 1946_Plymouth_P15 Deluxe, 1946_Plymouth_P15 Special Deluxe, 1947_Plymouth_P15 Deluxe, 1947_Plymouth_P15 Special Deluxe, 1948_Plymouth_P15 Deluxe, 1948_Plymouth_P15 Special Deluxe, 1949_Plymouth_Deluxe, 1949_Plymouth_Special Deluxe, 1949_Plymouth_Suburban, 1950_Plymouth_Deluxe, 1950_Plymouth_Special Deluxe, 1950_Plymouth_Suburban, 1951_Plymouth_Cambridge, 1951_Plymouth_Concord, 1951_Plymouth_Cranbrook, 1951_Plymouth_Deluxe, 1951_Plymouth_Suburban, 1952_Plymouth_Cambridge, 1952_Plymouth_Concord, 1952_Plymouth_Cranbrook, 1952_Plymouth_Suburban, 1953_Plymouth_Belvedere, 1953_Plymouth_Cambridge, 1953_Plymouth_Cranbrook, 1953_Plymouth_Savoy, 1953_Plymouth_Suburban, 1954_Plymouth_Belvedere, 1954_Plymouth_Plaza, 1954_Plymouth_Savoy, 1954_Plymouth_Suburban, 1955_Plymouth_Belvedere, 1955_Plymouth_Plaza, 1955_Plymouth_Savoy, 1955_Plymouth_Suburban, 1956_Plymouth_Belvedere, 1956_Plymouth_Fury, 1956_Plymouth_Plaza, 1956_Plymouth_Savoy, 1956_Plymouth_Suburban","Clutch Disc 9 1/4"" for 1935-1956 Plymouth - Clutch","Upgrade your 1935-1956 Classic Plymouth with our new 9 1/4"" clutch disc. Fits standard transmission. Reliable performance & easy installation.","<p>Looking to keep your Classic Plymouth running smooth? This new 9 1/4"" clutch disc is just what you need for standard transmissions. It's a fresh stock, ensuring reliability and performance. With a 1-inch center hole and 10 splines, it's designed to fit snugly and work seamlessly with your vehicle.</p><ul><li>Fits: 1935-1956 Plymouth models like Deluxe, Special Deluxe, Suburban, Belvedere, Plaza, Savoy, Fury, and more.</li><li>Easy to install for a smooth ride.</li><li>Built to last and handle the demands of your classic car.</li></ul>",
